Station;Long;Lat;X;Y;Z;G_Obs;GRS1980_(gt);CA;AAL;dH_ref;CB;ABS;rho_Jung;CT;Corr_terr_limpia;ABT;ARegB;AResB
2020;-75.3804;4.5123;4735967.175;2057033.915;2306.184;977525.0424;978064.6584652151;-711.6883824;172.07231718491346;69.87510294117646;254.23397080949087;-82.16165362457741;2.6300245002230516;18.77520526804392;153.29711191683646;-63.38644835653349;-62.40816625089573;-0.97828210563776
2021;-75.3835;4.508;4735624.297;2056565.111;2276.633;977530.4671;978064.5977085748;-702.5689437999999;168.43833522516343;40.32410294117608;250.9762654089715;-82.53793018380807;2.6300245002230516;18.825642685238286;149.61269253998063;-63.712287498569786;-62.39306316964688;-1.3192243289229069
2022;-75.3886;4.5086;4735054.968;2056632.422;2323.795;977522.3319;978064.6061827964;-717.123137;174.84885420357523;87.48610294117634;256.1754093330111;-81.32655512943586;2.6300245002230516;18.82187060626476;156.0269835973273;-62.5046845231711;-62.43703156446712;-0.06765295870398091
2023;-75.3931;4.507;4734551.209;2056460.649;2294.368;977528.3612;978064.5835873579;-708.0419648;171.8195774421522;58.05910294117621;252.93137370575369;-81.11179626360149;2.6300245002230516;18.827180597404183;152.9923968447287;-62.28461566619731;-62.46277646425506;0.1781607980577462
2024;-75.3745;4.4983;4736619.755;2055485.311;2361.087;977515.9614;978064.4608638829;-728.6314481999999;180.13198431712055;124.77810294117626;260.28648340144076;-80.15449908432021;2.6300245002230516;19.065951673636388;161.06603264345677;-61.088547410683816;-62.20130968361147;1.1127622729276538
2025;-75.3737;4.4937;4736702.851;2054975.823;2397.092;977510.9616;978064.3960706644;-739.7425912;186.30812053563943;160.78310294117637;264.2556784522241;-77.94755791658469;2.6300245002230516;19.294637747304417;167.0134827883822;-58.652920169280264;-62.14093777293266;3.488017603652395
2026;-75.3767;4.5013;4736371.076;2055823.504;2339.732;977519.4043;978064.5031557546;-722.0412951999999;176.94243944540654;103.42310294117624;257.9323059174947;-80.98986647208818;2.6300245002230516;18.957806196380496;157.98463324903037;-62.032060275707686;-62.25590432703271;0.22384405132502394
2027;-75.3793;4.5059;4736089.97;2056332.424;2324.452;977522.0485;978064.5680576077;-717.3258872;174.80632959229058;88.1431029411765;256.2478370832781;-81.44150749098753;2.6300245002230516;18.941187835468615;155.86514175677888;-62.50031965551892;-62.32866658161096;-0.17165307390796158
3000;-75.3494;4.4547;4739386.962;2050652.905;1986.547;977593.3551;978063.8493790203;-613.0484041999999;142.55412517976686;-249.7618970588237;218.99715374388236;-76.44302856411551;2.6300245002230516;19.252843313034965;123.30128186673451;-57.19018525108054;-61.563328926594735;4.373143675514193
3001;-75.3384;4.4434;4740602.949;2049404.111;2133.285;977564.3099;978063.691861901;-658.3317509999999;158.94978909902625;-103.02389705882388;235.17356655770945;-76.2237774586832;2.6300245002230516;18.80695205827754;140.14283704076848;-57.41682540040566;-61.32756575758799;3.910740357182327
3002;-75.3357;4.4468;4740909.309;2049772.675;2108.31;977568.1544;978063.7392146884;-650.624466;155.03965131157634;-127.99889705882379;232.42031988659951;-77.38066857502318;2.6300245002230516;18.635896110389798;136.40375520119494;-58.744772464633385;-61.34302730730913;2.5982548426757432
3003;-75.3389;4.4504;4740548.186;2050177.403;2083.56;977577.1002;978063.7893920984;-642.9866159999999;156.29742390155093;-152.7488970588238;229.69187723955363;-73.3944533380027;2.6300245002230516;19.354754553331656;136.9426693481704;-54.039698784671046;-61.414084202047235;7.374385417376189
3004;-75.3379;4.4545;4740667.382;2050631.095;2080.703;977575.6057;978063.8465876566;-642.1049458;153.8640581433085;-155.60589705882376;229.37692125399363;-75.51286311068512;2.6300245002230516;19.16924548945829;134.69481265388455;-56.34361762122683;-61.44972526554825;5.106107644321426
3005;-75.3349;4.4574;4741000.187;2050953.33;2006.705;977586.8625;978063.8870745994;-619.2691629999999;142.24458840065472;-229.6038970588238;221.21937381980766;-78.97478541915294;2.6300245002230516;18.7749251547602;123.46966324594273;-60.19986026439274;-61.46456093481612;1.2647006704233803
3006;-75.3358;4.4619;4740902.532;2051445.846;1986.783;977587.7788;978063.9499509158;-613.1212337999999;136.95008288420956;-249.52589705882383;219.02317040912288;-82.07308752491332;2.6300245002230516;18.51668614265051;118.4333967415196;-63.556401382262806;-61.522997857693966;-2.0334035245688398
3007;-75.3538;4.4457;4738893.533;2049666.878;1788.367;977632.7803;978063.723890737;-551.8900562;120.94646546293563;-447.94189705882377;197.14976934826393;-76.2033038853283;2.6300245002230516;19.131701890274826;101.81476357263705;-57.07160199505347;-61.52929860853209;4.457696613478618
3008;-75.3619;4.4424;4737989.629;2049294.807;1786.384;977634.2951;978063.6779414488;-551.2781024;121.89526095123472;-449.9248970588237;196.9311632161794;-75.0359022649447;2.6300245002230516;18.966378483119392;102.92888246812953;-56.0695237818253;-61.562976409044424;5.493452627219121
3009;-75.3467;4.4496;4739686.124;2050089.959;1800.746;977629.0566;978063.7782380815;-555.7102156;120.98857751852108;-435.56289705882364;198.5144316322147;-77.52585411369361;2.6300245002230516;19.033738958986774;101.95483855950896;-58.49211515470684;-61.50778609924744;3.0156709445406022
3010;-75.3741;4.4435;4736637.182;2049429.066;1757.83;977636.0177;978063.693254117;-542.466338;114.79078388292851;-478.4788970588238;193.78336720229058;-78.99258331936207;2.6300245002230516;18.706170836702718;96.08461304625331;-60.28641248265935;-61.6843874455503;1.3979749628909488
3011;-75.3309;4.4401;4741439.168;2049034.61;2409.244;977496.7918;978063.6459362055;-743.4926984;176.63856219448883;172.9351029411764;265.59531623189696;-88.95675403740813;2.6300245002230516;16.63546524067565;160.00309695386173;-72.32128879673249;-61.19200475271472;-11.129284044017766
3012;-75.331;4.4505;4741428.582;2050184.658;2402.272;977506.4688;978063.7907864903;-741.3411391999999;184.01915270972142;165.9631029411762;264.8267222062321;-80.80756949651067;2.6300245002230516;18.153488707772187;165.8656640019764;-62.65408078873848;-61.30670554968542;-1.3473752390530649
3013;-75.3603;4.46;4738177.739;2051246.118;2213.993;977549.5302;978063.9233954607;-683.2382398;168.84504433933307;-22.315897058823793;244.070825109539;-75.22578077020592;2.6300245002230516;19.458153146426206;149.3868911928823;-55.76762762377971;-61.68687431228747;5.919246688507762
3014;-75.3639;4.4604;4737779.958;2051289.244;2312.384;977528.4452;978063.9289851504;-713.6017024;178.11791724954378;76.07510294117628;254.9174594725892;-76.79954222304542;2.6300245002230516;19.365281373913685;158.7526358756476;-57.43426084913173;-61.70948154379762;4.27522069466589
3015;-75.3658;4.4665;4737570.978;2051961.665;2494.082;977489.6755;978064.0142895349;-769.6737052;195.3349156651285;257.77310294117615;274.9478664254355;-79.612950760307;2.6300245002230516;19.183321332911966;176.15159433218278;-60.429629427395035;-61.76849031903487;1.3388608916398326
3016;-75.3589;4.4714;4738341.79;2052508.728;2573.362;977473.4708;978064.0828964887;-794.1395132;203.52741671129138;337.05310294117635;283.6877021045385;-80.16028539324714;2.6300245002230516;19.039187646972177;184.4882290643517;-61.121097746274955;-61.75239980460296;0.6313020583280036
3017;-75.3528;4.4685;4739015.414;2052184.19;2108.649;977564.3176;978064.0422833603;-650.7290813999999;151.00439803968686;-127.65989705882384;232.45769128285602;-81.45329324316916;2.6300245002230516;18.894167914362388;132.11023012529617;-62.55912532880677;-61.727049517642016;-0.8320758111647564
3018;-75.3288;4.4595;4741675.122;2051182.9;2246.617;977542.1482;978063.9164090479;-693.3060062000001;171.5377971521517;10.308102941176458;247.66729835871982;-76.12950120656811;2.6300245002230516;18.012483863075783;153.52531328910538;-58.11701734349232;-61.404557333499966;3.2875399900076445
3019;-75.3283;4.4685;4741733.449;2052171.143;2303.026;977525.7573;978064.0422833603;-710.7138236;172.42884023979138;66.71710294117611;253.88583255173847;-81.45699231194709;2.6300245002230516;17.373429871757626;155.0554103680075;-64.08356244018947;-61.4896798150411;-2.5938826251483675
3020;-75.3347;4.4695;4741019.215;2052282.191;2328.19;977521.6675;978064.0562849347;-718.479434;176.09064906523338;91.88110294117632;256.65991460306225;-80.56926553782887;2.6300245002230516;18.5535547146023;157.53709435061006;-62.01571082322657;-61.55318621509646;-0.46252460813011
3021;-75.3506;4.4619;4739259.371;2051453.813;2066.068;977576.0084;978063.9499509158;-637.5885848;149.64703388428848;-170.24089705882352;227.76355728876064;-78.11652340447216;2.6300245002230516;19.100599111967746;130.5464347723387;-59.015924292504415;-61.641922371665174;2.625998079160759
3022;-75.3539;4.4624;4738887.681;2051506.802;2179.803;977549.4836;978063.956941058;-672.6872057999999;158.21386474199153;-56.50589705882385;240.30171585287235;-82.08785111088082;2.6300245002230516;18.80146936987641;139.41239537208693;-63.286381741004405;-61.66171704277639;-1.6246646982280168
3023;-75.3437;4.4639;4740019.008;2051673.049;2339.895;977519.8658;978063.9779161477;-722.091597;177.97948085235237;103.58610294117625;257.9502750549278;-79.9707942025754;2.6300245002230516;18.918074396002485;159.06140645637046;-61.052719806572924;-61.570101502221746;0.5173816956488224
3024;-75.3415;4.4585;4740260.711;2051069.569;2014.666;977585.9545;978063.9024385534;-621.7259276;143.77798904659312;-221.6428970588238;222.09699531124735;-78.31900626465423;2.6300245002230516;20.828771205793203;122.94921784085494;-57.49023505886103;-61.5327096510659;4.042474592204869
3025;-75.3457;4.4563;4739795.423;2050836.891;2008.001;977588.4678;978063.8717144058;-619.6691086;144.26519419415206;-228.30789705882376;221.3622449984166;-77.09705080426454;2.6300245002230516;19.34002277007649;124.92517142408205;-57.75702803418805;-61.54694756725384;3.7899195330657847
73124018;-75.4172;4.4422;4731859.783;2049294.485;1832.207;977623.5576;978063.6751577315;-565.4190802;125.30152246842658;-404.1018970588236;201.9826956370111;-76.68117316858451;2.6300245002230516;18.763452180742988;106.53807028770656;-57.91772098784152;-62.02725551800482;4.109534530163302
73124019;-75.4009;4.4375;4733663.918;2048772.27;1797.176;977629.5971;978063.6097761657;-554.6085135999999;120.5958374343279;-439.1328970588238;198.12087445039836;-77.52503701607046;2.6300245002230516;16.10362069259462;104.4922167416935;-61.42141632347584;-61.84277851556432;0.42136219208848047
