Station;Long;Lat;X;Y;Z;G_Obs;GRS1980_(gt);CA;AAL;dH_ref;CB;ABS;rho_Jung;CT;Corr_terr_limpia;ABT;ARegB;AResB
1008;-75.4096;4.5178;4732725.304;2057656.494;2007.804;977571.4998;978064.7362609354;-619.6083144;126.3718534645592;-228.50489705882364;221.3405276973472;-94.968674232788;2.6300245002230516;17.25655666492458;109.1152967995913;-77.71211756786343;-62.75482419953916;-14.957293368324272
1009;-75.4106;4.5059;4732616.519;2056339.144;2194.241;977544.136;978064.5680576077;-677.1427726;156.7107149923138;-42.067897058823746;241.89336251703594;-85.18264752472214;2.6300245002230516;18.245961238145895;138.4647537542227;-66.93668628657625;-62.611395758310266;-4.325290528265981
1010;-75.4139;4.5101;4732251.102;2056810.842;2100.813;977556.2384;978064.6273732446;-648.3108918;139.92191855541773;-135.49589705882363;231.59384980478526;-91.67193124936753;2.6300245002230516;17.65641771451972;122.26550084087596;-74.01551353484781;-62.696961639624405;-11.318551895223408
1011;-75.3953;4.49;4734303.005;2054572.193;2411.321;977506.0723;978064.3440020955;-744.1336606;185.86195850448303;175.01210294117618;265.82428493403484;-79.96232642955181;2.6300245002230516;18.997233139973382;166.86472536456466;-60.96509328957843;-62.28373183286712;1.3186385432886922
1012;-75.398;4.4946;4734011.849;2055090.108;2296.192;977528.5646;978064.4087424244;-708.6048512;172.76070877559164;59.883102941176276;253.13245166083297;-80.37174288524133;2.6300245002230516;18.981898245206825;153.77881053039732;-61.38984464003451;-62.37106134215708;0.9812167021225662
1013;-75.3967;4.4992;4734158.279;2055595.622;2251.795;977534.3848;978064.4735485079;-694.903937;164.81518849209988;15.486102941176341;248.2381216325139;-83.42293314041402;2.6300245002230516;18.653803718727076;146.16138477333914;-64.76912942168694;-62.41464190217981;-2.3544875195071313
1014;-75.3943;4.5035;4734416.014;2056064.897;2205.731;977542.56;978064.534187568;-680.6885866;158.7143990320535;-30.57789705882351;243.16002134590696;-84.44562231385345;2.6300245002230516;18.640184911143262;140.07421412091867;-65.80543740271018;-62.44638137336749;-3.359056029342696
1015;-75.3981;4.5058;4733999.026;2056329.517;2208.479;977544.0495;978064.5666459987;-681.5366194;161.019473401224;-27.829897058823917;243.46296115980923;-82.44348775858523;2.6300245002230516;18.829542726366153;142.18993067488137;-63.61394503221908;-62.503436145265965;-1.110508886953113
1016;-75.4025;4.5078;4733510.4;2056550.593;2133.384;977554.7794;978064.5948840828;-658.3623024;148.54681831720802;-102.92489705882372;235.18448032829767;-86.63766201108965;2.6300245002230516;18.12575172754036;130.421066589723;-68.51191028354928;-62.57185082715476;-5.940059456394522
1017;-75.4032;4.5123;4733441.5;2057048.388;2129.391;977554.2436;978064.6584652151;-657.1300626;146.71519738492384;-106.91789705882366;234.74429158124093;-88.02909419631709;2.6300245002230516;18.12069777615275;128.59449960878678;-69.90839642016434;-62.625698280682926;-7.282698139481411
