Station;Long;Lat;X;Y;Z;G_Obs;GRS1980 (gt);CA;AAL;dH_ref;CB;ABS;rho_Jung;CT;ABT;DDZ;_Distance;ARB
2010;-75.3856;4.4658;4735370.515;2051900.027;2182.301;977558.3644;978064.0045;-673.4580886;167.817994;-54.00789706;240.5770956;-72.75910167;2.6300245;16.228;-56.51;0.00584;157941.3;3.14
2011;-75.387;4.4704;4735218.013;2052406.199;2242.922;977546.704;978064.0689;-692.1657292;174.8008402;6.613102941;247.2599612;-72.45912097;2.6300245;16.1234;-56.31;0.00604;158470;4.01
2012;-75.3883;4.4746;4735080.119;2052867.923;2256.031;977544.0623;978064.1277;-696.2111666;176.1457253;19.72210294;248.7050987;-72.55937343;2.6300245;16.1234;-56.41;0.0022;158952;3.77
2013;-75.3937;4.4768;4734477.959;2053115.721;2310.671;977529.2961;978064.1586;-713.0730706;178.21058;74.36210294;254.7286182;-76.51803815;2.6300245;17.0611;-59.43;-0.00223;159603.3;1.46
2014;-75.3784;4.454;4736167.6;2050592.115;1864.098;977615.8562;978063.8396;-575.2606428;127.277233;-372.2108971;205.4983629;-78.22112988;2.6300245;14.5293;-63.67;0.00048;162640.9;-2.94
2015;-75.3827;4.4569;4735689.763;2050907.244;1953.49;977598.3486;978063.8801;-602.847014;137.3155218;-282.8188971;215.3529465;-78.03742476;2.6300245;13.9688;-64.05;0.00157;163213.4;-3.37
2016;-75.3858;4.4605;4735344.716;2051313.901;1980.149;977595.919;978063.9304;-611.0739814;143.0625987;-256.1598971;218.2918375;-75.22923879;2.6300245;14.62;-60.59;0.00018;163746.8;-0.52
2017;-75.3795;4.4583;4736046.435;2051059.847;1950.485;977599.2234;978063.8996;-601.919671;137.2434262;-285.8238971;215.021675;-77.77824883;2.6300245;13.858;-63.9;-0.00217;164493.2;-2.98
2018;-75.3813;4.4624;4735846.345;2051518.194;2030.948;977586.9141;978063.9569;-626.7505528;149.7077117;-205.3608971;223.8919247;-74.18421299;2.6300245;13.3951;-60.77;-0.00211;164993.4;-0.25
2019;-75.3764;4.5143;4736415.271;2057257.359;2310.153;977523.646;978064.6867;-712.9132158;171.8724721;73.84410294;254.6715138;-82.79904169;2.6300245;15.5522;-67.22;0.0042;170761.9;-1.23
2020;-75.3804;4.5123;4735967.175;2057033.915;2306.184;977525.0424;978064.6585;-711.6883824;172.0723172;69.87510294;254.2339708;-82.16165362;2.6300245;15.4027;-66.74;0.00703;171262.7;-0.73
2021;-75.3835;4.508;4735624.297;2056565.111;2276.633;977530.4671;978064.5977;-702.5689438;168.4383352;40.32410294;250.9762654;-82.53793018;2.6300245;14.5427;-67.97;0.00293;171843.6;-1.94
2022;-75.3886;4.5086;4735054.968;2056632.422;2323.795;977522.3319;978064.6062;-717.123137;174.8488542;87.48610294;256.1754093;-81.32655513;2.6300245;14.714;-66.59;-0.00184;172417;-0.79
2023;-75.3931;4.507;4734551.209;2056460.649;2294.368;977528.3612;978064.5836;-708.0419648;171.8195774;58.05910294;252.9313737;-81.11179626;2.6300245;14.3519;-66.74;-0.00273;172949.3;-1.06
2024;-75.3745;4.4983;4736619.755;2055485.311;2361.087;977515.9614;978064.4609;-728.6314482;180.1319843;124.7781029;260.2864834;-80.15449908;2.6300245;17.506;-62.63;0.00125;175236.7;1.58
2025;-75.3737;4.4937;4736702.851;2054975.823;2397.092;977510.9616;978064.3961;-739.7425912;186.3081205;160.7831029;264.2556785;-77.94755792;2.6300245;16.0436;-61.88;0.00515;175753.1;1.81
2026;-75.3767;4.5013;4736371.076;2055823.504;2339.732;977519.4043;978064.5032;-722.0412952;176.9424394;103.4231029;257.9323059;-80.98986647;2.6300245;14.2617;-66.71;0.00296;176663.5;-1.5
2027;-75.3793;4.5059;4736089.97;2056332.424;2324.452;977522.0485;978064.5681;-717.3258872;174.8063296;88.14310294;256.2478371;-81.44150749;2.6300245;12.3796;-69.04;-0.00226;177245.1;-3.1
3000;-75.3494;4.4547;4739386.962;2050652.905;1986.547;977593.3551;978063.8494;-613.0484042;142.5541252;-249.7618971;218.9971537;-76.44302856;2.6300245;12.666;-63.75;-0.00593;183813.5;-2.25
3001;-75.3384;4.4434;4740602.949;2049404.111;2133.285;977564.3099;978063.6919;-658.331751;158.9497891;-103.0238971;235.1735666;-76.22377746;2.6300245;12.7523;-63.45;-0.00214;185556.9;-1.04
3002;-75.3357;4.4468;4740909.309;2049772.675;2108.31;977568.1544;978063.7392;-650.624466;155.0396513;-127.9988971;232.4203199;-77.38066858;2.6300245;14.8885;-62.47;0.00184;186036.2;-0.47
3003;-75.3389;4.4504;4740548.186;2050177.403;2083.56;977577.1002;978063.7894;-642.986616;156.2974239;-152.7488971;229.6918772;-73.39445334;2.6300245;12.0516;-61.32;0.00445;186578.8;0.78
3004;-75.3379;4.4545;4740667.382;2050631.095;2080.703;977575.6057;978063.8466;-642.1049458;153.8640581;-155.6058971;229.3769213;-75.51286311;2.6300245;12.7661;-62.72;0.00478;187048;1.34
3005;-75.3349;4.4574;4741000.187;2050953.33;2006.705;977586.8625;978063.8871;-619.269163;142.2445884;-229.6038971;221.2193738;-78.97478542;2.6300245;16.2177;-62.73;0.00061;187511.3;-0.09
3006;-75.3358;4.4619;4740902.532;2051445.846;1986.783;977587.7788;978063.95;-613.1212338;136.9500829;-249.5258971;219.0231704;-82.07308752;2.6300245;17.6451;-64.4;-0.00605;188013.5;-0.41
3007;-75.3538;4.4457;4738893.533;2049666.878;1788.367;977632.7803;978063.7239;-551.8900562;120.9464655;-447.9418971;197.1497693;-76.20330389;2.6300245;15.1093;-61.07;-0.00002;190697.5;0.06
3008;-75.3619;4.4424;4737989.629;2049294.807;1786.384;977634.2951;978063.6779;-551.2781024;121.895261;-449.9248971;196.9311632;-75.03590226;2.6300245;14.9718;-60.04;0.00403;191675.2;0.59
3009;-75.3467;4.4496;4739686.124;2050089.959;1800.746;977629.0566;978063.7782;-555.7102156;120.9885775;-435.5628971;198.5144316;-77.52585411;2.6300245;17.0043;-60.5;0.00076;193549.2;0.88
3010;-75.3741;4.4435;4736637.182;2049429.066;1757.83;977636.0177;978063.6933;-542.466338;114.7907839;-478.4788971;193.7833672;-78.99258332;2.6300245;15.5178;-63.45;-0.00044;196669.5;-2.67
3011;-75.3309;4.4401;4741439.168;2049034.61;2409.244;977496.7918;978063.6459;-743.4926984;176.6385622;172.9351029;265.5953162;-88.95675404;2.6300245;23.5836;-65.35;-0.00167;201488.7;-2.27
3012;-75.331;4.4505;4741428.582;2050184.658;2402.272;977506.4688;978063.7908;-741.3411392;184.0191527;165.9631029;264.8267222;-80.8075695;2.6300245;17.4562;-63.33;-0.00012;202639;-0.67
3013;-75.3603;4.46;4738177.739;2051246.118;2213.993;977549.5302;978063.9234;-683.2382398;168.8450443;-22.31589706;244.0708251;-75.22578077;2.6300245;15.5243;-59.68;0.00169;206059.5;1.38
3014;-75.3639;4.4604;4737779.958;2051289.244;2312.384;977528.4452;978063.929;-713.6017024;178.1179172;76.07510294;254.9174595;-76.79954222;2.6300245;17.1156;-59.66;0.00127;206459.7;1.53
3015;-75.3658;4.4665;4737570.978;2051961.665;2494.082;977489.6755;978064.0143;-769.6737052;195.3349157;257.7731029;274.9478664;-79.61295076;2.6300245;19.0139;-60.58;-0.00028;207163.9;0.7
3016;-75.3589;4.4714;4738341.79;2052508.728;2573.362;977473.4708;978064.0829;-794.1395132;203.5274167;337.0531029;283.6877021;-80.16028539;2.6300245;18.272;-61.87;-0.00088;208109.4;0.14
3017;-75.3528;4.4685;4739015.414;2052184.19;2108.649;977564.3176;978064.0423;-650.7290814;151.004398;-127.6598971;232.4576913;-81.45329324;2.6300245;20.2573;-61.17;0.00009;208857.2;0.61
3018;-75.3288;4.4595;4741675.122;2051182.9;2246.617;977542.1482;978063.9164;-693.3060062;171.5377972;10.30810294;247.6672984;-76.12950121;2.6300245;13.9003;-62.21;0.00069;211699.8;0.43
